Run Number,Start Time,Stop Time
19,2024-10-05 01:31:56,
20,2024-10-05 01:34:21,2024-10-05 01:34:22
21,2024-10-05 01:34:45,2024-10-05 01:34:46
22,2024-10-05 01:37:32,2024-10-05 01:40:46
